Title;Number of characters;Number of lines;Script size (UTF-8);Script size (JSIS)
Asu Owaru Sekai, Sono Zen'ya;5702;338;20;13
Hanahira!;45579;3619;176;117
Oshikake;2556;127;9;6
Tsuki no Hikari;9765;509;33;22
Koufuku no Lalka;10533;558;37;25
Chise Anoyama ni Iku;9690;707;36;24
Christmas * Flower;5139;325;19;12
Onegai Shimasu. Pantsu wo Misete Kudasai;5024;405;18;12
Nekopara Vol. 0: Minazuki Neko-tachi no Nichijou!;12145;551;45;30
Sono Hanabira ni Kuchizuke wo: Itoshisa no Photograph;52638;3703;192;128
Tegami;16126;1354;53;35
Yandere Otoko no Ko no Toriatsukaikata;18989;1409;68;45
Sono Hanabira ni Kuchizuke wo: Hajimete Deatta Ano Hi Kara;55082;2824;197;131
Nekopara Extra: Koneko no Hi no Yakusoku;18881;1209;74;49
Tsumugi Uta to Maouji no Folklore;8330;419;30;20
Rikoshugi no Ryouiki to Yougashi;8913;711;33;22
Koi ni, Kanmi wo Soete;171908;6568;607;405
Sono Hanabira ni Kuchizuke wo: Anata o Suki na Shiawase;49127;3353;182;121
Sono Hanabira ni Kuchizuke wo: Amakute Hoshikute Torokeru Chuu;69409;4575;250;167
Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi;51673;3776;190;126
Negaeba Kitto...;2735;117;8;5
Sono Hanabira ni Kuchizuke wo: Watashi no Ouji-sama;62029;4281;223;148
Onii-chan, Kiss no Junbi wa Mada Desu ka? Ecchi no Junbi mo Mada Desu ka?;376057;23022;1392;928
Nekopara Vol. 4: Neko to Patissier no Noel;146747;8181;571;381
Sono Hanabira ni Kuchizuke wo: Amakute Otona no Torokeru Chuu;66728;4321;243;162
Warugoto Sanka;13678;562;49;32
Tsuyuchiru Letter ~Umi to Shiori ni Amaoto o~;121359;9826;438;292
Sono Hanabira ni Kuchizuke wo: Anata ni Chikau Ai;51827;2668;186;124
Sono Hanabira ni Kuchizuke wo: Michael no Otome-tachi;51827;2668;186;124
Sono Hanabira ni Kuchizuke wo: Tenshi no Akogare;76732;4218;273;182
Sono Hanabira ni Kuchizuke wo: Atelier no Koibito-tachi;90962;4318;321;214
Sono Hanabira ni Kuchizuke wo: Revolution! Rinagisa;67814;3414;243;162
Ao no Kanata no Four Rhythm EXTRA1;114394;5978;410;273
Sono Hanabira ni Kuchizuke wo: Lily Platinum;67431;2981;239;159
KaraKara;62103;3379;223;149
